Name MC MP
Bitcoin 1,243,404,781,351 55%
Ethereum 366,823,100,517 16%
Tether 110,959,763,982 5%
BNB 86,557,691,486 4%
Solana 67,963,739,872 3%
USDC 33,196,117,849 1%
XRP 29,623,939,725 1%
Dogecoin 22,185,400,969 1%
Toncoin 20,306,829,237 1%
Cardano 15,980,872,783 1%
"Shiba Inu" 13,834,385,195 1%
Avalanche 13,796,886,844 1%
TRON 10,592,673,961 0%
Polkadot 10,267,197,106 0%
"Bitcoin Cash" 9,402,489,555 0%
Chainlink 8,375,361,491 0%
"NEAR Protocol" 7,868,746,584 0%
Polygon 6,987,551,631 0%
Litecoin 6,120,677,762 0%
"Internet Computer" 5,890,930,277 0%
Dai 5,347,568,575 0%
"UNUS SED LEO" 5,371,451,156 0%
Uniswap 4,497,802,420 0%
Render 4,102,446,907 0%
"Ethereum Classic" 4,060,787,485 0%
Hedera 3,961,426,039 0%
"First Digital USD" 3,832,652,630 0%
Aptos 3,837,758,457 0%
Cosmos 3,611,320,783 0%
Mantle 3,449,353,712 0%
Pepe 3,447,359,405 0%
Cronos 3,405,131,888 0%
dogwifhat 3,256,517,309 0%
Filecoin 3,239,622,452 0%
Stacks 3,228,245,521 0%
Immutable 3,202,602,769 0%
Stellar 3,167,940,615 0%
OKB 3,027,000,236 0%
Bittensor 2,921,231,984 0%
Optimism 2,824,252,432 0%
Arbitrum 2,795,398,212 0%
"The Graph" 2,735,138,477 0%
Kaspa 2,696,397,067 0%
VeChain 2,625,169,494 0%
Maker 2,619,475,690 0%
Sui 2,608,472,167 0%
Arweave 2,505,011,193 0%
Monero 2,370,940,949 0%
Injective 2,344,999,254 0%
"Theta Network" 2,200,415,685 0%
Fetch.ai 2,049,062,325 0%
Fantom 1,943,575,064 0%
THORChain 1,778,339,252 0%
Celestia 1,768,196,626 0%
"Lido DAO" 1,770,450,156 0%
FLOKI 1,699,564,588 0%
Core 1,604,264,161 0%
Algorand 1,594,223,951 0%
"Bitget Token" 1,584,005,152 0%
Bonk 1,567,609,719 0%
Jupiter 1,533,471,016 0%
Sei 1,503,370,109 0%
Ethena 1,425,885,655 0%
Gala 1,367,048,432 0%
Flow 1,355,973,943 0%
Aave 1,333,397,061 0%
SingularityNET 1,283,218,669 0%
"Bitcoin SV" 1,266,689,019 0%
Worldcoin 1,246,087,749 0%
Beam 1,218,731,210 0%
Quant 1,183,795,024 0%
"BitTorrent (New)" 1,181,320,508 0%
Pendle 1,168,014,438 0%
Wormhole 1,162,270,300 0%
Flare 1,154,102,602 0%
Chiliz 1,141,850,756 0%
Ondo 1,132,224,485 0%
Neo 1,131,929,376 0%
"Akash Network" 1,123,633,901 0%
MultiversX 1,077,609,373 0%
"Axie Infinity" 1,062,838,196 0%
"KuCoin Token" 1,017,859,643 0%
"dYdX (Native)" 999,337,402 0%
"The Sandbox" 993,698,740 0%
eCash 977,354,302 0%
JasmyCoin 936,861,308 0%
Mina 923,432,340 0%
Starknet 922,956,704 0%
Tezos 920,300,829 0%
EOS 908,136,754 0%
"AIOZ Network" 923,706,932 0%
Ronin 906,743,996 0%
Synthetix 880,303,096 0%
Conflux 857,650,146 0%
Decentraland 834,907,040 0%
Helium 822,888,612 0%
Gnosis 808,824,603 0%
ORDI 809,494,496 0%
Axelar 802,595,451 0%
"Nervos Network" 797,198,975 0%
